timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103304873,966,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,10,10,https://google.com/,966,0,0
1667103305839,609,Request1-1,200,OK,Thread Group 1-4,text,true,,17520,117,10,10,https://www.google.com/,582,0,0
1667103305395,1071,Request1,200,OK,Thread Group 1-8,text,true,,18151,230,10,10,https://www.google.com/,466,0,0
1667103305395,466,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,466,0,0
1667103305861,605,Request1-1,200,OK,Thread Group 1-8,text,true,,17448,117,10,10,https://www.google.com/,588,0,0
1667103305027,1583,Request1,200,OK,Thread Group 1-6,text,true,,18189,230,10,10,https://www.google.com/,697,0,0
1667103305027,697,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,10,10,https://google.com/,697,0,0
1667103305724,886,Request1-1,200,OK,Thread Group 1-6,text,true,,17486,117,10,10,https://www.google.com/,863,0,0
1667103305002,1676,Request1,200,OK,Thread Group 1-7,text,true,,18218,230,10,10,https://www.google.com/,1072,0,0
1667103305002,1072,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,10,10,https://google.com/,1072,0,0
1667103306074,604,Request1-1,200,OK,Thread Group 1-7,text,true,,17515,117,10,10,https://www.google.com/,588,0,0
1667103304995,1832,Request1,200,OK,Thread Group 1-10,text,true,,18210,230,10,10,https://www.google.com/,1258,0,0
1667103304995,1258,Request1-0,301,Moved Permanently,Thread Group 1-10,text,true,,703,113,10,10,https://google.com/,1258,0,0
1667103306253,574,Request1-1,200,OK,Thread Group 1-10,text,true,,17507,117,10,10,https://www.google.com/,540,0,0
1667103305066,1811,Request1,200,OK,Thread Group 1-3,text,true,,18214,230,10,10,https://www.google.com/,1182,0,0
1667103305066,1182,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,1182,0,0
1667103306248,629,Request1-1,200,OK,Thread Group 1-3,text,true,,17511,117,10,10,https://www.google.com/,579,0,0
1667103305313,1564,Request1,200,OK,Thread Group 1-2,text,true,,18213,230,10,10,https://www.google.com/,919,0,0
1667103305313,919,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,919,0,0
1667103306232,645,Request1-1,200,OK,Thread Group 1-2,text,true,,17510,117,10,10,https://www.google.com/,613,0,0
1667103306447,1043,Request1,200,OK,Thread Group 1-5,text,true,,18175,230,10,10,https://www.google.com/,435,0,0
1667103306447,435,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,113,10,10,https://google.com/,435,0,0
1667103306882,608,Request1-1,200,OK,Thread Group 1-5,text,true,,17472,117,10,10,https://www.google.com/,593,0,0
1667103306467,1054,Request1,200,OK,Thread Group 1-8,text,true,,18220,230,10,10,https://www.google.com/,452,0,0
1667103306467,452,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,452,0,0
1667103306919,602,Request1-1,200,OK,Thread Group 1-8,text,true,,17517,117,10,10,https://www.google.com/,590,0,0
1667103305836,1819,Request1,200,OK,Thread Group 1-9,text,true,,18198,230,10,10,https://www.google.com/,1160,0,0
1667103305836,1160,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,10,10,https://google.com/,1160,0,0
1667103306996,659,Request1-1,200,OK,Thread Group 1-9,text,true,,17495,117,10,10,https://www.google.com/,632,0,0
1667103306678,1155,Request1,200,OK,Thread Group 1-7,text,true,,18140,230,10,10,https://www.google.com/,562,0,0
1667103306678,562,Request1-0,301,Moved Permanently,Thread Group 1-7,text,true,,703,113,10,10,https://google.com/,562,0,0
1667103307240,593,Request1-1,200,OK,Thread Group 1-7,text,true,,17437,117,10,10,https://www.google.com/,581,0,0
1667103306610,1271,Request1,200,OK,Thread Group 1-6,text,true,,18158,230,10,10,https://www.google.com/,736,0,0
1667103306610,736,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,10,10,https://google.com/,736,0,0
1667103307346,535,Request1-1,200,OK,Thread Group 1-6,text,true,,17455,117,10,10,https://www.google.com/,529,0,0
1667103306877,1131,Request1,200,OK,Thread Group 1-3,text,true,,18174,230,10,10,https://www.google.com/,509,0,0
1667103306877,509,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,509,0,0
1667103307386,622,Request1-1,200,OK,Thread Group 1-3,text,true,,17471,117,10,10,https://www.google.com/,608,0,0
1667103306448,1637,Request1,200,OK,Thread Group 1-4,text,true,,18158,230,10,10,https://www.google.com/,1041,0,0
1667103306448,1041,Request1-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,113,10,10,https://google.com/,1041,0,0
1667103307489,596,Request1-1,200,OK,Thread Group 1-4,text,true,,17455,117,10,10,https://www.google.com/,583,0,0
1667103306166,2072,Request1,200,OK,Thread Group 1-1,text,true,,18072,230,10,10,https://www.google.com/,1518,0,0
1667103306166,1518,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,1518,0,0
